IP-ADDRESS,PING-RESPONCE,IPID-ICMP,IPID-TCP,PORT-RESULT,COOKIES,TTL,WINDOW-SIZE,OS-TYPE,OS-FAMILY,
151.51.92.117,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
24.51.165.132,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
176.131.255.159,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
186.49.61.145,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,51,CLOSED-PORT,Linux Most likely,LINUX,
71.185.52.156,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
76.189.165.215,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
91.154.136.222,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
213.119.78.34,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,51,CLOSED-PORT,Linux Most likely,LINUX,
89.28.67.87,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
79.7.149.231,ON,INCREMENTAL,ZERO,OPEN,NOT-DEPLOYED,50,8192,Linux Most likely,LINUX,
96.227.71.223,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
89.247.203.82,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
78.248.152.108,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
77.130.155.26,ON,INCREMENTAL,ZERO,OPEN,DEPLOYED,48,8192,Linux Most likely,LINUX,
179.99.117.51,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
78.208.48.216,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
86.245.93.7,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
89.142.33.35,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
79.58.158.72,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
193.95.220.117,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
80.146.110.216,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
93.104.46.117,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
185.28.225.242,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
134.73.55.10,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
179.228.173.135,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2.224.173.21,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
83.135.236.78,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
82.65.81.108,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,56,CLOSED-PORT,Linux Most likely,LINUX,
73.235.205.181,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,44,8192,Linux Most likely,LINUX,
87.123.49.136,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
73.103.85.233,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
82.160.59.220,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,239,CLOSED-PORT,Cisco-Router Most likely,CISCO,
73.232.208.78,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,43,CLOSED-PORT,Linux Most likely,LINUX,
187.134.11.181,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,48,CLOSED-PORT,Linux Most likely,LINUX,
162.211.39.170,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
75.114.63.139,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
80.6.205.21,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,243,CLOSED-PORT,Cisco-Router Most likely,CISCO,
143.178.254.141,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
82.124.193.69,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
31.201.249.191,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
31.151.253.77,ON,INCREMENTAL,ZERO@@@@,OPEN,NOT-DEPLOYED,52,8192,Linux Most likely,LINUX,
78.116.123.202,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
189.230.36.85,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
84.24.39.214,ON,INCREMENTAL,ZERO,OPEN,NOT-DEPLOYED,53,8192,Linux Most likely,LINUX,
178.23.112.105,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
106.75.76.83,ON,RANDOM,ZERO,OPEN,DEPLOYED,43,8192,Linux Most likely,LINUX,
217.121.154.149,ON,INCREMENTAL,ZERO@@@@,OPEN,NOT-DEPLOYED,53,8192,Linux Most likely,LINUX,
97.124.238.106,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
93.25.186.232,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
